SRG_type	domains	HTR	middle_position	HTR_full	HTR_size	shortest_distance	shortest_distance_relative_size
DUF3435	IPR021842	IBT35665:HTR1	62404	Pbrevicompactum.IBT35665_JAPZBP010000001:0-1451000	1451000	62404	0.0430076
DUF3435	IPR013087,IPR021842	IBT35665:HTR1	85914	Pbrevicompactum.IBT35665_JAPZBP010000001:0-1451000	1451000	85914	0.0592102
DUF3723	IPR022198	IBT35665:HTR1	93392.5	Pbrevicompactum.IBT35665_JAPZBP010000001:0-1451000	1451000	93392.5	0.0643642
DUF3435	IPR013087,IPR021842	IBT35665:HTR1	192788	Pbrevicompactum.IBT35665_JAPZBP010000001:0-1451000	1451000	192788	0.132866
DUF3723	IPR022198	IBT35665:HTR1	219004	Pbrevicompactum.IBT35665_JAPZBP010000001:0-1451000	1451000	219004	0.150933
DUF3435	IPR013087,IPR021842	IBT35665:HTR1	287708	Pbrevicompactum.IBT35665_JAPZBP010000001:0-1451000	1451000	287708	0.198283
DUF3723	IPR022198	IBT35665:HTR1	348828	Pbrevicompactum.IBT35665_JAPZBP010000001:0-1451000	1451000	348828	0.240405
DUF3723	IPR022198	IBT35665:HTR1	551698	Pbrevicompactum.IBT35665_JAPZBP010000001:0-1451000	1451000	551698	0.380219
DUF3435	IPR011010,IPR013762,IPR021842	IBT35665:HTR1	1.0277e+06	Pbrevicompactum.IBT35665_JAPZBP010000001:0-1451000	1451000	423300	0.29173
DUF3723	IPR022198	IBT35665:HTR1	1.09873e+06	Pbrevicompactum.IBT35665_JAPZBP010000001:0-1451000	1451000	352270	0.242777
DUF3723	IPR022198	IBT35665:HTR1	1.24561e+06	Pbrevicompactum.IBT35665_JAPZBP010000001:0-1451000	1451000	205390	0.141551
DUF3435	IPR013087,IPR021842	IBT35665:HTR22	105110	Pbrevicompactum.IBT35665_JAPZBP010000001:5132000-6153000	1021000	105110	0.102948
DUF3723	IPR022198	IBT35665:HTR22	364862	Pbrevicompactum.IBT35665_JAPZBP010000001:5132000-6153000	1021000	364862	0.357357
DUF3723	IPR022198	IBT35665:HTR22	573496	Pbrevicompactum.IBT35665_JAPZBP010000001:5132000-6153000	1021000	447504	0.4383
DUF3723	IPR022198	IBT35665:HTR22	910202	Pbrevicompactum.IBT35665_JAPZBP010000001:5132000-6153000	1021000	110798	0.108519
MYB/SANT	IPR001005,IPR009057	IBT35665:HTR22	955469	Pbrevicompactum.IBT35665_JAPZBP010000001:5132000-6153000	1021000	65531	0.0641832
DUF3435	IPR013087,IPR021842	IBT35665:HTR22	981169	Pbrevicompactum.IBT35665_JAPZBP010000001:5132000-6153000	1021000	39831	0.0390118
DUF3435	IPR013087,IPR021842	IBT35665:HTR42	105062	Pbrevicompactum.IBT35665_JAPZBP010000003:996000-1831000	835000	105062	0.125823
MYB/SANT	IPR001005,IPR009057	IBT35665:HTR42	109938	Pbrevicompactum.IBT35665_JAPZBP010000003:996000-1831000	835000	109938	0.131662
DUF3723	IPR022198	IBT35665:HTR42	154884	Pbrevicompactum.IBT35665_JAPZBP010000003:996000-1831000	835000	154884	0.18549
DUF3723	IPR022198	IBT35665:HTR42	340790	Pbrevicompactum.IBT35665_JAPZBP010000003:996000-1831000	835000	340790	0.408132
DUF3435	IPR021842	IBT35665:HTR42	499952	Pbrevicompactum.IBT35665_JAPZBP010000003:996000-1831000	835000	335048	0.401255
DUF3435	IPR021842	IBT35665:HTR42	635017	Pbrevicompactum.IBT35665_JAPZBP010000003:996000-1831000	835000	199983	0.239501
DUF3435	IPR013087,IPR021842	IBT35665:HTR42	766964	Pbrevicompactum.IBT35665_JAPZBP010000003:996000-1831000	835000	68036	0.0814802
MYB/SANT	IPR001005,IPR009057	IBT35665:HTR53	207999	Pbrevicompactum.IBT35665_JAPZBP010000004:742000-1186000	444000	207999	0.468466
DUF3723	IPR022198	IBT35665:HTR53	241591	Pbrevicompactum.IBT35665_JAPZBP010000004:742000-1186000	444000	202409	0.455876
DUF3435	IPR021842	IBT35665:HTR53	256235	Pbrevicompactum.IBT35665_JAPZBP010000004:742000-1186000	444000	187765	0.422894
MYB/SANT	IPR001005	IBT35665:HTR59	101106	Pbrevicompactum.IBT35665_JAPZBP010000004:2206000-2436000	230000	101106	0.439591
DUF3723	IPR022198	IBT35665:HTR64	490768	Pbrevicompactum.IBT35665_JAPZBP010000004:3340000-5084571	1744571	490768	0.281312
MYB/SANT	IPR001005,IPR009057	IBT35665:HTR64	956934	Pbrevicompactum.IBT35665_JAPZBP010000004:3340000-5084571	1744571	787637	0.451479
DUF3723	IPR022198	IBT35665:HTR64	1.40452e+06	Pbrevicompactum.IBT35665_JAPZBP010000004:3340000-5084571	1744571	340051	0.19492
DUF3723	IPR022198	IBT35665:HTR64	1461751	Pbrevicompactum.IBT35665_JAPZBP010000004:3340000-5084571	1744571	282820	0.162114
DUF3723	IPR022198	IBT35665:HTR65	17402.5	Pbrevicompactum.IBT35665_JAPZBP010000005:0-892465	892465	17402.5	0.0194994
DUF3435	IPR021842	IBT35665:HTR65	494924	Pbrevicompactum.IBT35665_JAPZBP010000005:0-892465	892465	397541	0.445442
DUF3723	IPR022198	IBT35665:HTR65	554228	Pbrevicompactum.IBT35665_JAPZBP010000005:0-892465	892465	338237	0.378992
DUF3435	IPR021842	IBT35673:HTR117	246540	Pbrevicompactum.IBT35673_JAPZBQ010000005:2475000-3020000	545000	246540	0.452367
DUF3723	IPR022198	IBT35673:HTR117	251950	Pbrevicompactum.IBT35673_JAPZBQ010000005:2475000-3020000	545000	251950	0.462294
DUF3723	IPR022198	IBT35673:HTR50	481460	Pbrevicompactum.IBT35673_JAPZBQ010000002:4185000-4981194	796194	314734	0.395298
DUF3723	IPR022198	IBT35673:HTR50	603994	Pbrevicompactum.IBT35673_JAPZBQ010000002:4185000-4981194	796194	192200	0.241398
DUF3435	IPR011010,IPR013762,IPR021842	IBT35673:HTR50	780160	Pbrevicompactum.IBT35673_JAPZBQ010000002:4185000-4981194	796194	16034	0.0201383
MYB/SANT	IPR001005,IPR009057	IBT35673:HTR57	8241.5	Pbrevicompactum.IBT35673_JAPZBQ010000003:1505000-1823000	318000	8241.5	0.0259167
MYB/SANT	IPR001005	IBT35673:HTR97	104610	Pbrevicompactum.IBT35673_JAPZBQ010000004:1490000-1723000	233000	104610	0.44897
DUF3435	IPR013087,IPR021842	IBT35675:HTR1	171260	Pbrevicompactum.IBT35675_JAPZBR010000001:0-714000	714000	171260	0.23986
DUF3723	IPR022198	IBT35675:HTR1	417091	Pbrevicompactum.IBT35675_JAPZBR010000001:0-714000	714000	296909	0.415839
MYB/SANT	IPR001005,IPR009057	IBT35675:HTR1	477493	Pbrevicompactum.IBT35675_JAPZBR010000001:0-714000	714000	236507	0.331242
DUF3435	IPR013087,IPR021842	IBT35675:HTR101	37461	Pbrevicompactum.IBT35675_JAPZBR010000006:2517000-3471000	954000	37461	0.0392673
DUF3723	IPR022198	IBT35675:HTR101	95214.5	Pbrevicompactum.IBT35675_JAPZBR010000006:2517000-3471000	954000	95214.5	0.0998056
DUF3435	IPR021842	IBT35675:HTR101	591540	Pbrevicompactum.IBT35675_JAPZBR010000006:2517000-3471000	954000	362460	0.379937
DUF3435	IPR021842	IBT35675:HTR101	685334	Pbrevicompactum.IBT35675_JAPZBR010000006:2517000-3471000	954000	268666	0.281621
DUF3723	IPR022198	IBT35675:HTR101	855190	Pbrevicompactum.IBT35675_JAPZBR010000006:2517000-3471000	954000	98810	0.103574
MYB/SANT	IPR001005,IPR009057	IBT35675:HTR101	896672	Pbrevicompactum.IBT35675_JAPZBR010000006:2517000-3471000	954000	57328	0.0600922
DUF3435	IPR021842	IBT35675:HTR11	79868.5	Pbrevicompactum.IBT35675_JAPZBR010000001:2954000-3398000	444000	79868.5	0.179884
DUF3723	IPR022198	IBT35675:HTR11	85265.5	Pbrevicompactum.IBT35675_JAPZBR010000001:2954000-3398000	444000	85265.5	0.192039
DUF3435	IPR013087,IPR021842	IBT35675:HTR116	77493	Pbrevicompactum.IBT35675_JAPZBR010000007:1067000-1252471	185471	77493	0.417817
DUF3723	IPR022198	IBT35675:HTR117	72288.5	Pbrevicompactum.IBT35675_JAPZBR010000008:0-1755000	1755000	72288.5	0.04119
DUF3435	IPR021842	IBT35675:HTR117	408833	Pbrevicompactum.IBT35675_JAPZBR010000008:0-1755000	1755000	408833	0.232953
DUF3435	IPR011010,IPR021842	IBT35675:HTR117	410064	Pbrevicompactum.IBT35675_JAPZBR010000008:0-1755000	1755000	410064	0.233655
DUF3723	IPR022198	IBT35675:HTR117	561413	Pbrevicompactum.IBT35675_JAPZBR010000008:0-1755000	1755000	561413	0.319893
MYB/SANT	IPR001005,IPR009057	IBT35675:HTR117	714994	Pbrevicompactum.IBT35675_JAPZBR010000008:0-1755000	1755000	714994	0.407404
MYB/SANT	IPR001005,IPR009057	IBT35675:HTR117	984620	Pbrevicompactum.IBT35675_JAPZBR010000008:0-1755000	1755000	770380	0.438963
DUF3723	IPR022198	IBT35675:HTR117	1.09757e+06	Pbrevicompactum.IBT35675_JAPZBR010000008:0-1755000	1755000	657430	0.374604
DUF3435	IPR013087,IPR021842	IBT35675:HTR117	1443697	Pbrevicompactum.IBT35675_JAPZBR010000008:0-1755000	1755000	311303	0.177381
MYB/SANT	IPR001005,IPR009057	IBT35675:HTR121	8092	Pbrevicompactum.IBT35675_JAPZBR010000008:2948000-3258000	310000	8092	0.0261032
MYB/SANT	IPR001005,IPR009057	IBT35675:HTR17	44830.5	Pbrevicompactum.IBT35675_JAPZBR010000001:4717000-4887903	170903	44830.5	0.262315
MYB/SANT	IPR001005	IBT35675:HTR55	103850	Pbrevicompactum.IBT35675_JAPZBR010000003:1548000-1777000	229000	103850	0.453493
DUF3435	IPR021842	IBT35675:HTR6	74828.5	Pbrevicompactum.IBT35675_JAPZBR010000001:1605000-1845000	240000	74828.5	0.311785
DUF3723	IPR022198	IBT35675:HTR6	80263.5	Pbrevicompactum.IBT35675_JAPZBR010000001:1605000-1845000	240000	80263.5	0.334431
DUF3435	IPR011010,IPR021842	IBT35675:HTR63	91107.5	Pbrevicompactum.IBT35675_JAPZBR010000004:0-94000	94000	2892.5	0.0307713
DUF3723	IPR022198	PN007:HTR1	144696	Psalamii.PN007_contig1:0-1040000	1040000	144696	0.139131
MYB/SANT	IPR001005	PN007:HTR1	434616	Psalamii.PN007_contig1:0-1040000	1040000	434616	0.4179
