HTR	start	end	gene	Identifying_annotation	SRG_type
IBT35665:HTR1	61214	63594	g32616.t1	IPR021842	DUF3435
IBT35665:HTR1	84582	87246	g32618.t1	IPR013087,IPR021842	DUF3435
IBT35665:HTR1	91663	95122	g32620.t1	IPR022198	DUF3723
IBT35665:HTR1	191512	194064	g32643.t1	IPR013087,IPR021842	DUF3435
IBT35665:HTR1	217640	220367	g32650.t1	IPR022198	DUF3723
IBT35665:HTR1	286342	289074	g32673.t1	IPR013087,IPR021842	DUF3435
IBT35665:HTR1	347664	349993	g32702.t1	IPR022198	DUF3723
IBT35665:HTR1	550533	552864	g32770.t1	IPR022198	DUF3723
IBT35665:HTR1	1026346	1029045	g32931.t1	IPR011010,IPR013762,IPR021842	DUF3435
IBT35665:HTR1	1097063	1100406	g32951.t1	IPR022198	DUF3723
IBT35665:HTR1	1244514	1246701	g33000.t1	IPR022198	DUF3723
IBT35665:HTR22	103745	106476	g37081.t1	IPR013087,IPR021842	DUF3435
IBT35665:HTR22	363696	366027	g37171.t1	IPR022198	DUF3723
IBT35665:HTR22	572332	574660	g37244.t1	IPR022198	DUF3723
IBT35665:HTR22	909036	911367	g37357.t1	IPR022198	DUF3723
IBT35665:HTR22	954853	956085	g37378.t1	IPR001005,IPR009057	MYB/SANT
IBT35665:HTR22	979906	982432	g37385.t1	IPR013087,IPR021842	DUF3435
IBT35665:HTR42	103799	106325	g12489.t1	IPR013087,IPR021842	DUF3435
IBT35665:HTR42	109324	110553	g12490.t1	IPR001005,IPR009057	MYB/SANT
IBT35665:HTR42	153719	156050	g12512.t1	IPR022198	DUF3723
IBT35665:HTR42	339625	341956	g12584.t1	IPR022198	DUF3723
IBT35665:HTR42	498623	501280	g12650.t1	IPR021842	DUF3435
IBT35665:HTR42	633543	636491	g12693.t1	IPR021842	DUF3435
IBT35665:HTR42	765597	768330	g12738.t1	IPR013087,IPR021842	DUF3435
IBT35665:HTR53	207384	208614	g10415.t1	IPR001005,IPR009057	MYB/SANT
IBT35665:HTR53	239715	243467	g10429.t1	IPR022198	DUF3723
IBT35665:HTR53	255133	257337	g10434.t1	IPR021842	DUF3435
IBT35665:HTR59	99580	102631	g31172.t1	IPR001005	MYB/SANT
IBT35665:HTR64	489602	491933	g38918.t1	IPR022198	DUF3723
IBT35665:HTR64	956299	957570	g39067.t1	IPR001005,IPR009057	MYB/SANT
IBT35665:HTR64	1403355	1405686	g39221.t1	IPR022198	DUF3723
IBT35665:HTR64	1460650	1462852	g39247.t1	IPR022198	DUF3723
IBT35665:HTR65	14267	20538	g34813.t1	IPR022198	DUF3723
IBT35665:HTR65	493459	496389	g34943.t1	IPR021842	DUF3435
IBT35665:HTR65	551093	557363	g34962.t1	IPR022198	DUF3723
IBT35673:HTR117	245158	247921	g13216.t1	IPR021842	DUF3435
IBT35673:HTR117	250689	253212	g13218.t1	IPR022198	DUF3723
IBT35673:HTR50	480366	482553	g7494.t1	IPR022198	DUF3723
IBT35673:HTR50	602323	605666	g7529.t1	IPR022198	DUF3723
IBT35673:HTR50	778809	781511	g7574.t1	IPR011010,IPR013762,IPR021842	DUF3435
IBT35673:HTR57	7736	8747	g23492.t1	IPR001005,IPR009057	MYB/SANT
IBT35673:HTR97	103084	106135	g581.t1	IPR001005	MYB/SANT
IBT35675:HTR1	170005	172515	g2736.t1	IPR013087,IPR021842	DUF3435
IBT35675:HTR1	415872	418310	g2822.t1	IPR022198	DUF3723
IBT35675:HTR1	476857	478129	g2844.t1	IPR001005,IPR009057	MYB/SANT
IBT35675:HTR101	36094	38828	g30542.t1	IPR013087,IPR021842	DUF3435
IBT35675:HTR101	94049	96380	g30569.t1	IPR022198	DUF3723
IBT35675:HTR101	590212	592869	g30741.t1	IPR021842	DUF3435
IBT35675:HTR101	683860	686808	g30766.t1	IPR021842	DUF3435
IBT35675:HTR101	854024	856355	g30835.t1	IPR022198	DUF3723
IBT35675:HTR101	896057	897286	g30850.t1	IPR001005,IPR009057	MYB/SANT
IBT35675:HTR11	78487	81250	g33372.t1	IPR021842	DUF3435
IBT35675:HTR11	84004	86527	g33374.t1	IPR022198	DUF3723
IBT35675:HTR116	76238	78748	g8637.t1	IPR013087,IPR021842	DUF3435
IBT35675:HTR117	71123	73454	g13598.t1	IPR022198	DUF3723
IBT35675:HTR117	408463	409203	g13728.t1	IPR021842	DUF3435
IBT35675:HTR117	409237	410891	g13729.t1	IPR011010,IPR021842	DUF3435
IBT35675:HTR117	560248	562578	g13787.t1	IPR022198	DUF3723
IBT35675:HTR117	714378	715610	g13852.t1	IPR001005,IPR009057	MYB/SANT
IBT35675:HTR117	983983	985257	g13935.t1	IPR001005,IPR009057	MYB/SANT
IBT35675:HTR117	1096404	1098735	g13985.t1	IPR022198	DUF3723
IBT35675:HTR117	1442337	1445057	g14105.t1	IPR013087,IPR021842	DUF3435
IBT35675:HTR121	7587	8597	g17823.t1	IPR001005,IPR009057	MYB/SANT
